algorithm n comparisions time
bubble 100 7722 0.000052958
insertion-dumb 100 2537 0.000015958
insertion-smart 100 540 0.000012625
selection 100 4950 0.0000575
quick 100 1071 0.000008833
heap 100 1039 0.000010541
merge 100 541 0.000014625
stdstable 100 659 0.0000065
stdunstable 100 743 0.000004791
bubble 100 8811 0.000059166
insertion-dumb 100 2394 0.000015166
insertion-smart 100 520 0.000012666
selection 100 4950 0.0000575
quick 100 1103 0.000008666
heap 100 1033 0.000010291
merge 100 550 0.000015458
stdstable 100 666 0.0000065
stdunstable 100 762 0.000005041
bubble 100 8910 0.000059541
insertion-dumb 100 2658 0.000016791
insertion-smart 100 535 0.000012625
selection 100 4950 0.0000575
quick 100 1115 0.000008583
heap 100 1033 0.000010125
merge 100 544 0.000014916
stdstable 100 639 0.000006458
stdunstable 100 741 0.00000525
bubble 100 8316 0.00005625
insertion-dumb 100 2512 0.000015916
insertion-smart 100 531 0.000012875
selection 100 4950 0.00005725
quick 100 1004 0.0000085
heap 100 1024 0.000010291
merge 100 538 0.000014333
stdstable 100 639 0.000006625
stdunstable 100 760 0.000005125
bubble 100 9009 0.00006075
insertion-dumb 100 2611 0.000016458
insertion-smart 100 530 0.000012208
selection 100 4950 0.000057375
quick 100 1447 0.000010791
heap 100 1020 0.000009958
merge 100 544 0.000014708
stdstable 100 656 0.000006583
stdunstable 100 682 0.000004625
bubble 1000 924075 0.00581
insertion-dumb 1000 249491 0.001584
insertion-smart 1000 8574 0.000306375
selection 1000 499500 0.005001041
quick 1000 19005 0.000115375
heap 1000 16770 0.000129
merge 1000 8718 0.000307416
stdstable 1000 9709 0.000077875
stdunstable 1000 11449 0.000063458
bubble 1000 976023 0.004957208
insertion-dumb 1000 252249 0.001129708
insertion-smart 1000 8549 0.000215833
selection 1000 499500 0.004186208
quick 1000 18723 0.000099208
heap 1000 16818 0.000109416
merge 1000 8719 0.00026475
stdstable 1000 9750 0.000065333
stdunstable 1000 10975 0.000052458
bubble 1000 984015 0.00419125
insertion-dumb 1000 247813 0.000958625
insertion-smart 1000 8582 0.000185041
selection 1000 499500 0.003627375
quick 1000 18980 0.000084958
heap 1000 16774 0.000094666
merge 1000 8697 0.000225708
stdstable 1000 9763 0.0000565
stdunstable 1000 10837 0.000043666
bubble 1000 989010 0.003744125
insertion-dumb 1000 246876 0.000847833
insertion-smart 1000 8593 0.000163125
selection 1000 499500 0.00321275
quick 1000 18002 0.000072333
heap 1000 16869 0.00008425
merge 1000 8680 0.000199291
stdstable 1000 9675 0.000049666
stdunstable 1000 10942 0.000039708
bubble 1000 951048 0.003211458
insertion-dumb 1000 262202 0.000899166
insertion-smart 1000 8592 0.000167208
selection 1000 499500 0.0029235
quick 1000 19249 0.000067916
heap 1000 16866 0.000076166
merge 1000 8701 0.000183166
stdstable 1000 9702 0.000044416
stdunstable 1000 11228 0.00003575
bubble 1000 972027 0.002938458
insertion-dumb 1000 254937 0.000784208
insertion-smart 1000 8584 0.000148541
selection 1000 499500 0.002713833
quick 1000 18999 0.00006125
heap 1000 16893 0.00006975
merge 1000 8709 0.000165458
stdstable 1000 9734 0.000040416
stdunstable 1000 11025 0.00003175
bubble 1000 931068 0.002575125
insertion-dumb 1000 257234 0.00072125
insertion-smart 1000 8584 0.000136791
selection 1000 499500 0.002587041
quick 1000 17715 0.0000535
heap 1000 16867 0.00006375
merge 1000 8716 0.000153
stdstable 1000 9720 0.000037708
stdunstable 1000 11072 0.000029625
bubble 1000 922077 0.002351083
insertion-dumb 1000 251849 0.000652583
insertion-smart 1000 8555 0.000124041
selection 1000 499500 0.002417583
quick 1000 18043 0.000055333
heap 1000 16856 0.000063166
merge 1000 8694 0.000150708
stdstable 1000 9777 0.000037416
stdunstable 1000 11181 0.000030041
bubble 1000 973026 0.00236325
insertion-dumb 1000 253410 0.000612958
insertion-smart 1000 8620 0.000116
selection 1000 499500 0.00226575
quick 1000 17779 0.000050916
heap 1000 16857 0.000059291
merge 1000 8694 0.000142208
stdstable 1000 9782 0.00003525
stdunstable 1000 11204 0.000029
bubble 1000 976023 0.002324833
insertion-dumb 1000 251217 0.000608083
insertion-smart 1000 8593 0.000116
selection 1000 499500 0.002263375
quick 1000 17379 0.000049833
heap 1000 16843 0.000059416
merge 1000 8706 0.00014
stdstable 1000 9718 0.000034958
stdunstable 1000 11373 0.000029125
bubble 10000 99720027 0.219196083
insertion-dumb 10000 24843921 0.056322333
insertion-smart 10000 118967 0.00594925
selection 10000 49995000 0.198436083
quick 10000 246577 0.0005955
heap 10000 235357 0.000720958
merge 10000 120294 0.006077916
stdstable 10000 128067 0.000406666
stdunstable 10000 144950 0.000317458
bubble 10000 98350164 0.221747958
insertion-dumb 10000 25274027 0.059959166
insertion-smart 10000 118998 0.006246708
selection 10000 49995000 0.197783208
quick 10000 247916 0.0006055
heap 10000 235275 0.000710666
merge 10000 120407 0.00617975
stdstable 10000 128277 0.000409958
stdunstable 10000 148095 0.00032225
bubble 10000 99300069 0.217902666
insertion-dumb 10000 24936944 0.05226225
insertion-smart 10000 119050 0.005943916
selection 10000 49995000 0.197727291
quick 10000 250583 0.000600791
heap 10000 235344 0.000729625
merge 10000 120494 0.006117125
stdstable 10000 127788 0.000411708
stdunstable 10000 143633 0.000315708
bubble 10000 99650034 0.2091345
insertion-dumb 10000 25199882 0.053289458
insertion-smart 10000 119125 0.00601775
selection 10000 49995000 0.197967875
quick 10000 251159 0.000609833
heap 10000 235404 0.000731666
merge 10000 120495 0.006266958
stdstable 10000 127888 0.000394875
stdunstable 10000 147289 0.000327083
bubble 10000 98590140 0.207327375
insertion-dumb 10000 24751652 0.052254333
insertion-smart 10000 118956 0.00600375
selection 10000 49995000 0.198458083
quick 10000 246379 0.000598416
heap 10000 235360 0.000722333
merge 10000 120450 0.006063625
stdstable 10000 128349 0.000394708
stdunstable 10000 146190 0.000324208
bubble 10000 99540045 0.227716166
insertion-dumb 10000 24940473 0.060012166
insertion-smart 10000 118954 0.006511333
selection 10000 49995000 0.214388583
quick 10000 245092 0.000661083
heap 10000 235360 0.000804625
merge 10000 120477 0.006737833
stdstable 10000 128481 0.00042
stdunstable 10000 143893 0.000362166
bubble 10000 98030196 0.21517075
insertion-dumb 10000 25176373 0.054378916
insertion-smart 10000 118977 0.006582458
selection 10000 49995000 0.221260125
quick 10000 265233 0.000729166
heap 10000 235545 0.00073725
merge 10000 120397 0.006290541
stdstable 10000 128169 0.000404708
stdunstable 10000 149569 0.000337291
bubble 10000 99120087 0.230915958
insertion-dumb 10000 25108147 0.059959041
insertion-smart 10000 118982 0.006813375
selection 10000 49995000 0.214657708
quick 10000 254227 0.000708291
heap 10000 235357 0.000722333
merge 10000 120422 0.006955958
stdstable 10000 128295 0.000474
stdunstable 10000 148252 0.00034525
bubble 10000 98900109 0.212627666
insertion-dumb 10000 24924609 0.053851916
insertion-smart 10000 118993 0.006051791
selection 10000 49995000 0.201326083
quick 10000 252207 0.000607791
heap 10000 235384 0.000723166
merge 10000 120474 0.006187458
stdstable 10000 128527 0.000433291
stdunstable 10000 146189 0.000411666
bubble 10000 98750124 0.224511583
insertion-dumb 10000 25018420 0.056702833
insertion-smart 10000 119025 0.006629208
selection 10000 49995000 0.212933583
quick 10000 260149 0.000633166
heap 10000 235417 0.0007695
merge 10000 120471 0.0064805
stdstable 10000 128074 0.000403708
stdunstable 10000 147077 0.000326166
bubble 50000 2486950260 6.405068916
insertion-dumb 50000 626630289 1.352978791
insertion-smart 50000 711394 0.181836833
selection 50000 1249975000 5.054162375
quick 50000 1493918 0.004006458
heap 50000 1410273 0.005571166
merge 50000 718192 0.171574333
stdstable 50000 773793 0.002408333
stdunstable 50000 850093 0.001894291
bubble 50000 2491450170 6.306072125
insertion-dumb 50000 626739417 1.364433833
insertion-smart 50000 711297 0.179456416
selection 50000 1249975000 4.996857916
quick 50000 1483161 0.003559125
heap 50000 1409653 0.004692625
merge 50000 717980 0.165952166
stdstable 50000 773415 0.002357375
